rmse;hl;T;RS;preds
6.13350050595821;10;12;15;12.670587445996704 13.529449961872638 15.394259421861761 21.96450893021335 30.03138261030496 37.10044158842032 40.720471339520145 38.63988778325311 31.293070242209247 22.116560155543908 14.862452503759188 11.933092923025699 12.52248302789733 13.423595130464255 15.342287191898732 21.832897498418497 29.810152817094142 36.98343099760669 40.70852442980491 38.77622350296987 31.245717330993045 22.014452149899704 14.978752274371088 12.192493018521974 12.741730895075607 13.572298311639537 15.59686275559849 22.28982899262238 30.189091539164217 37.21782210275772 40.76300039398276 38.64681372368018 31.220279688389404 21.963098259257453 14.856956304250687 12.030741932618147 12.631922337246039 13.509712381741336 15.482731897909805 22.06905552842995 29.954340636133296 36.96919569237023 40.7321752337818 38.92025471205005 31.561614469189454 22.05407851977787 14.810686161888775 12.113356386149022 12.734075233244864 13.63105067275749 15.77092797456963 22.387338099568286 30.064382083772543 37.06083141957239 40.76706145222927 38.816262999119125 31.32003685704167 21.955297800718952 14.909939073474861 12.193250416685638 12.7689452506621 13.609268387601471 15.698828664706642 22.31049728818875 30.018406260126635 37.07420401994864 40.77085249330514 38.81091530905448 31.199522118395986 21.755962012268505 14.74245079773773 12.19644066955682 12.810503593396238 13.636523920806487 15.714021180813043 22.29943772240055 30.025735201180897 37.195409327508244 40.78625157254709 38.78352611734999 31.3775457890888 22.04432414948828 14.924260109163002 12.155020710622638 12.717211985895089 13.558770451390169 15.678183151839043 22.333257541784704 30.096549229311613 37.1933639474406 40.77826176446767 38.807916768374454 31.345704689283288 22.059312802630842 15.080724933908506 12.335720251476555 12.86321162014928 13.668955683172788 15.79378762823653 22.543133281730587 30.271218611702075 37.27484567894062 40.79697395439345 38.74200287684804 31.233677265353936 21.974909822865904 15.080589925323183 12.488389309845703 13.028954234878181 13.81054728711618 16.03765836120602 22.904501353653977 30.58013850620899 37.54561889766451 40.82976078933915 38.48069105978359 31.007162561070647 21.894842981340073 15.001679432330647 12.360419397118479 12.903492106623334 13.700788007420254 15.887860935446696 22.74767875615737 30.501531107490504 37.52892373600346 40.814789687312675 38.52191998156954 30.966611382383018 21.853243123465948 15.017974968579137 12.34352104753652 12.864175581448485 13.628852732988433 15.787532680478513 22.693341808632223 30.54849249380927 37.59999225531751 40.81006168665466 38.473049573854304 30.809327730567528 21.62350610177246 14.81782474083773 12.224525830518646 12.799006937313054 13.576616561241094 15.696511917382498 22.601017706405646 30.500140519061674 37.568710766098164
6.1069995145378;25;12;15;12.94412969080557 14.494230763192055 15.87631905148743 21.29561868235278 30.83042552219596 37.7587421003696 41.5025274712058 37.80070546885971 30.79666527535008 22.351861556081488 14.59261826974622 11.663696791872104 12.645060022683824 14.18843834256415 15.609440155407183 20.97267223963446 30.350188508472154 37.58112750569032 41.70660914895181 38.023059208543344 30.705505453411185 22.171508143488193 14.730939965753088 11.925602646711976 12.897754241747105 14.465369977907548 15.89519122658681 21.39206780314317 30.88145269206173 37.87687731269897 41.736888874468065 37.83304542538799 30.7053663945683 22.076494585861614 14.450178811887 11.695075487272884 12.74509463397893 14.295289537332215 15.69473452935672 21.15957002464056 30.555855862052788 37.59863811920672 41.73339485227991 38.49753608097434 31.11649588867988 21.899407452849115 14.056962931919012 11.547845924806403 12.70881580197385 14.301026727165517 15.736451507178614 21.053496985606145 30.356991591086583 37.60098456841963 42.0103973671306 38.44941902116521 30.919340151360934 21.765546440501318 14.043380393192589 11.543876672397905 12.693128479402239 14.245615153491382 15.673314067209366 21.040276269888388 30.417688075833187 37.694877639168396 42.297628132405364 38.48256092869031 30.617392100200103 21.17315205708479 13.558019128612846 11.432734904788273 12.64429924930553 14.128916432509854 15.532897037958286 21.032229926963865 30.469424040771905 37.892735421131015 42.208406358708785 38.26885043863906 30.70820224990301 21.53403354962864 13.817299066468184 11.479612585784139 12.665497622330026 14.201189228404983 15.632946500197779 21.232962041708014 30.68191540329769 37.91239537132576 42.03625691156338 38.09771625605528 30.641951511956215 21.82517534485948 14.432689799744253 11.898814243212179 12.980924930649511 14.559553317114755 15.975725197817859 21.580434819079045 31.0218643209694 38.08035955232615 42.031458706441 37.96308839494285 30.449074196706164 21.64160788413184 14.486073544466837 12.108485276390565 13.199542982777256 14.778739080343783 16.205184439347043 21.922040292092667 31.386222790867514 38.37623896757671 41.8987263658665 37.642262093296296 30.288995867174485 21.65481425518741 14.437026275504829 12.011276394786272 13.093617946904505 14.664090464730384 16.081509824761874 21.915091906488286 31.38945219622844 38.40420194576882 41.9115575818156 37.55707167595746 30.16434514051743 21.69288380731607 14.59645926399866 12.090570987204051 13.110001238733457 14.664530592718538 16.101581551141848 22.078060769831726 31.605692747168646 38.53445282854508 41.90915172882515 37.434351572070526 29.93482244495314 21.40575277963371 14.363828670800237 11.979776191658699 13.018242653718652 14.520924660682127 15.955821557126608 22.102202836298463 31.56671036824247 38.48400552055327
5.905470021875618;40;12;15;12.731510070123726 13.948871683294753 15.50089527793624 20.50921898695582 29.92785870212218 37.00076069961875 41.324964179788935 37.2491143926639 30.852518327098224 20.761923669184462 14.10489502996625 11.081322408136785 12.525092743851623 13.607653009878081 15.214140417924735 20.433509547521293 29.68213025101864 36.816804751686846 40.91176770423607 37.56944791297403 30.68961899317622 20.488979174887117 14.163571111233498 11.281006856258827 12.721441129830334 13.867292745613307 15.52911882269802 20.7896324937147 30.176170542505876 37.07127703381883 41.32335892770945 37.32508642379688 30.641543786028542 20.382903941963193 13.91608754852076 11.136220949186693 12.611886388141173 13.701020897229936 15.340786571472865 20.64841958885314 29.950825687614408 36.873885031475574 41.112105593911075 37.86204256934368 31.089380764403597 20.201797350224528 13.55669199421912 11.034269215979998 12.568522980621266 13.63351187926793 15.43595344822415 20.8296706397781 29.96451218295153 36.87522566672783 40.90510233037867 37.87682600943655 30.77699992481193 19.98265647735012 13.534145560470172 11.091334644824341 12.604820038785364 13.615300571193705 15.399530157032773 20.856963637865544 30.075786934017707 36.93262051652036 41.218383002191516 37.81252277033304 30.40817874612596 19.467835326888498 13.05404558046047 11.116721659208485 12.609340801264906 13.528808671092353 15.370955589949153 21.019243619902376 30.2814785891437 37.048164914097384 41.3209557748907 37.59480927572696 30.491993425980358 19.813715846756374 13.379425721689968 11.103832389567696 12.588761442604117 13.55581443841452 15.386964232953831 20.99023702534572 30.325793807190134 37.051803395471836 41.301888512385524 37.51755061277585 30.44974856458985 20.066248393038734 13.893319700691881 11.324363513349468 12.802792578045512 13.928164066477905 15.668380178458737 21.041408991919248 30.44384193898197 37.20041949610959 41.64124339228181 37.3600752487692 30.246902215399544 19.93289805066492 13.927761740893644 11.475913350546287 12.969352669758546 14.155120923878128 15.93942003913864 21.336722721197305 30.81009390428924 37.44073207781289 41.83357797301887 37.088200359989074 30.06704782828975 19.960640289820027 13.922886580877629 11.42393639528277 12.889085340483513 14.036499005598673 15.786882614140183 21.255035776647603 30.755798176572796 37.41680045597853 41.78771690667048 37.0369524510863 29.92813209450746 19.982196773117092 14.023031899212699 11.475143801609946 12.900060188384423 14.038279768839084 15.767624314486778 21.26101665697741 30.84498619812305 37.490764909447755 41.889445875711395 36.931061167359886 29.680902347935127 19.741245263283748 13.758088351203059 11.43614387156768 12.858079268778223 13.933278191689942 15.64973616786855 21.309213709373346 30.865799796679376 37.46647011451888
6.021621652986834;55;12;15;11.986564423328742 13.104947867384816 16.659340494558144 22.60421403466317 30.196051906780546 37.30282620824882 39.67030165824147 35.887182886157255 29.003456943544105 21.87123352374244 16.14540466289478 12.831933506144564 11.817552575706241 12.9975755394774 16.57457805443478 22.43329822846615 29.959857086929595 37.285977136800504 39.85171539451174 35.982906673323 28.89941932769417 21.668528596045256 16.112108845582412 12.94715523320266 12.010352936062661 13.234831526808993 16.851243047822166 22.81564456722978 30.40194674982745 37.52698906297578 39.77511962371457 35.7610281638597 28.839645626628247 21.697242053211028 16.077788313107444 12.8525115147195 11.92880505035584 13.159290173063193 16.723125300694015 22.596681230645068 30.124100431318485 37.32234844968653 39.80772689724179 36.17883923285891 29.211817043359005 21.73337288205445 15.925649838478616 12.759675561193818 11.964857742980504 13.34441664542985 16.971597801294244 22.773858059986445 30.20675066212447 37.452842347916366 39.95136253116697 35.99867567608873 28.950603782561842 21.614272527100756 15.969294063855994 12.83948048606412 12.02285743123528 13.314026887916562 16.86799491308905 22.694216833025845 30.16991289457615 37.49491102310303 40.08861765934979 36.05748001551203 28.833989441946137 21.389029772451938 15.794703661487945 12.8095058799507 12.078227152247967 13.365633919656293 16.84857595321911 22.60082920066839 30.174503186477136 37.64922583612726 40.03301302339864 35.93244316430095 28.897233201176327 21.623982175796456 15.983322805956911 12.859459056520224 12.031268466100906 13.295867558147686 16.844249603102433 22.702146731045527 30.301035932813594 37.646196243472616 39.9442286775185 35.84599716711861 28.797881058280026 21.58500587225662 16.081614456415497 13.007477069124993 12.17036308625875 13.434081247286295 17.026358633587122 22.953084572794122 30.510293839720894 37.689747312926116 39.8803696166607 35.76677142907934 28.67344364518778 21.424925517596165 16.00043109388905 13.055823643529173 12.316523380729471 13.64080909330464 17.297297237828033 23.248402858611932 30.823003425217827 37.8881721309471 39.72862806727272 35.499318071468544 28.502914301066248 21.41989914796459 16.00890018244636 13.003891241098813 12.200973582809041 13.504843972154587 17.15124427518264 23.139818828651247 30.783926540281925 37.91024333447571 39.78425700476923 35.49010373552025 28.427447202042377 21.396562913991502 16.065896081869262 13.05327130622364 12.176283212725163 13.40252366550996 17.06094648306103 23.147306320412895 30.896030919104913 37.99005230960357 39.7996236819507 35.45148857994615 28.307108987122 21.258952713229284 15.972902843341679 12.998662358589252 12.123552909555544 13.32060653132228 16.96437754215117 23.059889189600252 30.82364269086933 37.93789039257816
5.85552813555094;70;12;15;10.301676179699147 11.236757792419201 14.88292790580928 21.31352217085247 30.011023315638248 38.79415669335833 42.50846293958924 38.0653128454919 28.95331711760537 20.85396644727137 15.111525792564105 11.544307349785086 10.144927161881537 11.118372814206987 14.79062388610977 21.138465988865054 29.757824164465855 38.79097454100227 42.74737818243445 38.240910411906455 28.867092872024422 20.646449476071815 15.0586969331272 11.618697080298082 10.275445361656733 11.261016135030046 14.934293272181284 21.426727882210226 30.213185171300967 39.10691218177428 42.72444832430319 37.948832838418596 28.714924020463897 20.674979827843742 15.048463282359712 11.54145056811965 10.201933186948336 11.205098279160948 14.85638521793477 21.245144372643907 29.91592461822255 38.84657377661 42.754832006430135 38.41753944391289 29.115915044860635 20.768181992157114 14.972010620662981 11.470687168208432 10.191621231201363 11.279084334003826 14.969202442088262 21.31621829230137 29.94625024665781 39.02183787181881 42.97736530753225 38.21241414980233 28.730499285909687 20.60628239680943 15.010286904687916 11.548838237908528 10.242954195512889 11.23043399028267 14.825866527222496 21.217835848569152 29.931541061286865 39.08043429802072 43.122126913059034 38.28317079928428 28.709074098461848 20.494943516665224 14.872771209935427 11.495482844988862 10.263264887088887 11.26977009170239 14.820695698404625 21.12439235640952 29.94531733733323 39.27886721655682 43.11189056211984 38.180839691952826 28.78718095285025 20.72986824324975 15.068310894488054 11.55116308574779 10.20822053676683 11.17074939488306 14.797075946402359 21.265886416650012 30.11649067240675 39.2717752155698 43.009386643799175 38.1152754726624 28.71219988473354 20.634678752560426 15.08217222594317 11.649616746508764 10.332032860109031 11.308819974921226 14.967906359669161 21.486489432503472 30.29036957953015 39.30882292146829 42.92858535556918 37.99962981864638 28.614022654051013 20.521197286167144 14.990956375441364 11.655864943837514 10.434990407276382 11.481590461559122 15.217454878694415 21.76549530599963 30.623091487629516 39.56508271726996 42.778462559119234 37.62848581724994 28.35784015066445 20.489846267526353 15.000902457922113 11.621278444449459 10.352224744129945 11.393007278471115 15.123276939830623 21.705549300226686 30.612694476473788 39.58748739200431 42.84109574202229 37.666956513637736 28.343409758022197 20.453798300202173 15.016647159142485 11.651288152795063 10.33913296161117 11.319380346465195 15.062463672657712 21.737227714686885 30.753989061529467 39.693829604405714 42.85129024030004 37.62148292192923 28.27014532406787 20.34643913563183 14.912878210377343 11.582837449950429 10.301657278497201 11.300569600272135 15.063430334128626 21.727020053072074 30.706335081167992 39.628423345160115
5.732736884878322;85;12;15;10.708934977669509 11.69324342077005 15.79307140769139 22.318579155247285 29.598114408372112 36.50505372714571 38.97426894686609 34.680043448023966 27.717761072433284 20.974885874151564 15.564426267931701 11.99646055263292 10.473697368688498 11.471240703408258 15.566217156816013 22.02288706440886 29.268555751426867 36.41827560884347 39.18660369943291 34.78109669909533 27.60190480502417 20.783389021686435 15.531291110835868 12.115973527575509 10.689241275328438 11.749374590203958 15.88296417405703 22.43715078282871 29.7391707032747 36.70502709364034 39.049363422194475 34.47532993009864 27.47974768693803 20.783034961671426 15.489707791513446 12.006088014852306 10.56234535589746 11.61635603142858 15.727759654455516 22.223408734520635 29.474155600714838 36.50153945366975 39.09549855597106 34.8487265497412 27.781613382861813 20.829413110901598 15.387286903472754 11.922934877065993 10.553428038836872 11.70209053336627 15.845307579438728 22.29754937419371 29.512042384971117 36.62882959816987 39.25506790313607 34.600905465565155 27.45250092929106 20.67194888510324 15.408522403858214 12.003359491342929 10.622422826280358 11.68389002597887 15.745344522693841 22.238223226588133 29.499487936621925 36.658550388142885 39.31642930516539 34.626040013894745 27.376205215074766 20.505629446193545 15.23598750720171 11.914379383014072 10.606904939483329 11.707764944207398 15.77012872374452 22.21882215535575 29.52709246702 36.79108021583939 39.216698463187264 34.45586979261017 27.414571279808943 20.712852773720023 15.438333649583395 12.001778540808795 10.585454775447204 11.633596627774333 15.74126658837416 22.30795178569285 29.627263436986283 36.78448909670392 39.15527495720869 34.44496379908778 27.376641630326823 20.69052302875052 15.518817667637872 12.162670297067042 10.79054901758314 11.878907227306296 16.041045726611777 22.64549231896313 29.917648677857123 36.875846706220315 39.04510930167095 34.35420427760437 27.29374230868092 20.593016453215586 15.455720055201297 12.195289721366942 10.933714821631398 12.124195550421682 16.38496659686369 23.00347821487326 30.280261486747012 37.11424081592618 38.858369476709676 34.05094124282249 27.11447757156752 20.573230945036496 15.462030356479296 12.148972326000166 10.822625707370042 11.98825608090284 16.241308011479003 22.884771241185053 30.191560171146847 37.08604157270976 38.927144200159084 34.09410281250733 27.09060332838192 20.547764950629936 15.48491836194911 12.182543560826593 10.818799564061987 11.931706384854431 16.20156553421746 22.903737247251232 30.262773824690118 37.12978570444028 38.926654118994364 34.091625404966656 27.028474402545037 20.435551889895766 15.365663928447416 12.077805925461758 10.73036219024613 11.857929593318802 16.15795506098641 22.852706027127905 30.197039494582185 37.0809166468109
5.923573185738763;100;12;15;9.963551228015152 10.958105472655859 14.821498999487297 21.595173200056568 30.03177548528825 37.744225977275676 41.830343167314524 39.13419741686806 29.80351984529722 20.790096416966016 14.783419827996934 11.217342207763895 9.840608359962431 10.852893282113614 14.735445877288244 21.465120611140005 29.881194334691124 37.80372156065583 42.091841296226725 39.39325999090103 29.75941119038633 20.57613666731411 14.723944495904574 11.269402868350312 9.929485861766443 10.94072446738137 14.828566698928958 21.736533770558324 30.345536787664848 38.167044514704514 42.19951334319356 39.14663170757631 29.557860923615124 20.621449936327547 14.737516233944174 11.212917976422858 9.862774069500768 10.883753544546755 14.772513834474537 21.601750312051312 30.123836489534177 37.98491793310374 42.20803913535671 39.586586884740214 29.993327740359955 20.75820789539491 14.708978119178589 11.170835800377667 9.840759569577994 10.88997474015844 14.79434742289298 21.63144629419677 30.189069937790563 38.21429751956758 42.531778922274526 39.47210905498724 29.516233051459544 20.542997122439253 14.733518629732758 11.242911483738226 9.886339818068905 10.836306127320825 14.646916697634367 21.55847871036942 30.240330672508943 38.29997126764187 42.64041358045472 39.5096198403334 29.535049197996017 20.491843382024744 14.625566439951381 11.185658392960283 9.87752375744731 10.85593367545509 14.676429574385983 21.560803558208686 30.354310320582066 38.53932258821768 42.69162503703945 39.41339517131611 29.60428970106479 20.747693595530684 14.84279795390786 11.253623064897756 9.82506482153419 10.746339106233258 14.640777857259728 21.705716542111755 30.492315421456354 38.50071418307285 42.595504324632856 39.39110660396513 29.586086493505682 20.637792388059438 14.81417883399108 11.310344221849524 9.922716531298345 10.879607430891484 14.80728664571034 21.88763504173041 30.61055999073983 38.52071435490261 42.52076357179803 39.24943399487054 29.48790420000121 20.545768848695936 14.72178368349648 11.293504601002182 9.988476513037492 11.019213058544773 15.031835624991327 22.13503177704671 30.883860570180968 38.73356754043706 42.43541924467192 38.86265329912197 29.145842397969194 20.479010140946862 14.725029964930572 11.269676935778518 9.934605387321891 10.972339427806467 14.995934141982225 22.136015736492617 30.899190795044397 38.73318681622645 42.47394394449385 38.93293876864115 29.201360628425736 20.452799574192248 14.723289704265758 11.282560805075896 9.926242955546982 10.935572539765444 14.990924648423812 22.202755205518283 31.01780528785166 38.79854447238133 42.46272068079594 38.892334936605245 29.182404072960527 20.377003729263112 14.620604199397834 11.20639841183761 9.890246966528153 10.950708352266009 15.051396343875856 22.22549799237851 30.961502657514394 38.716511905853196
5.916866856962847;10;48;15;12.065784761024595 12.802106734432071 14.87907881104172 21.434047372663517 29.272593858213877 36.313072868902196 40.776508002944325 37.51526221725462 30.59356646010522 22.722311697729744 14.596314804812366 11.502558644945642 11.970866975113232 12.722193127650582 14.872641601693518 21.36981281917779 29.093089818382996 36.149817787357875 40.800574633364015 37.594163934689114 30.53709844425093 22.52487345494601 14.53268660863547 11.597882806698829 12.072344828185441 12.809921706393494 15.076885964784847 21.762362263016474 29.393030966923003 36.39032478142404 40.81564159148606 37.459137798249984 30.474280299585974 22.476364195196517 14.414125444219408 11.517120670958587 12.038029696053885 12.79449832560619 14.985116579083217 21.545168213942425 29.165757514390197 36.0608957327207 40.82738463823746 37.89024586281766 30.887559805418817 22.477853677414092 14.165919585575192 11.46681647206722 12.031088904682427 12.868908307406985 15.3028214822371 21.91505174143415 29.27999637894714 36.138848339800376 40.87229929440274 37.763544355749545 30.667259546317947 22.294580535402456 14.097808429322646 11.482851441746039 12.05715231207904 12.835502458097578 15.20520082444757 21.825335498793823 29.216673977216 36.14044819153645 40.95435211221866 37.73468087029333 30.447524298146654 21.908767091787364 13.764712547441935 11.503673815860411 12.133412586541686 12.889270302245405 15.226591584706153 21.78855342228695 29.210516910682344 36.25966482263426 40.90141659599935 37.63631091485526 30.421826764016267 22.02987831523908 13.857395941266201 11.457575134401859 12.04368655577892 12.780153663415618 15.170244401535728 21.810752715210885 29.259736990633563 36.26088665033143 40.846833975039104 37.55032934720643 30.348583256392665 22.107661149022707 14.125858488052286 11.58315607021179 12.139100498241346 12.872878909901335 15.236159643147996 21.923012691428458 29.373741615294975 36.37150053437245 40.89336063371313 37.50840918146363 30.230421042346233 22.020807763434153 14.19235494162437 11.713694521274785 12.295274379485479 13.050873553748305 15.456964834357976 22.17871093589554 29.621136072341397 36.70590464944494 40.87374523635154 37.33035040853863 30.095045233671115 22.07722582611187 14.281954064316933 11.699777836299686 12.248142882349205 12.98622401762344 15.306172395324818 22.015383624758066 29.565199990313282 36.716204454419234 40.8669367533937 37.2652681698978 30.016144866322477 22.132067663555944 14.438813789174507 11.743827087433035 12.232438008661502 12.900672452318862 15.176554702813727 21.956023640625794 29.62516810374207 36.84075527472315 40.85424054602992 37.13774041028751 29.82344306223334 21.94733634444245 14.31011280495776 11.737028055076166 12.24289104838014 12.885980143021083 15.116151186697273 21.904326321894626 29.612598804448496 36.82538994762754
6.26973656859106;25;48;15;9.516331238875022 11.556579630190951 15.608559899430876 21.45561263151863 28.90889220508336 36.9028578738859 42.16981820485175 40.33780300528052 32.29406642149864 21.80731640919295 13.38413212097433 9.678479250019699 9.505103924919558 11.598633454433225 15.670494412904894 21.40866845879449 28.739532035310724 36.89823788009615 42.33061342997149 40.47957282055654 32.304265645076875 21.677057425901577 13.338113094581118 9.713349267436934 9.561010980101829 11.655021140179246 15.720955896798161 21.52821704225146 28.9501488036293 37.093643906149296 42.45910920113855 40.46549682545076 32.31734527682297 21.69668396147145 13.318095371635271 9.673799852452403 9.556158771545318 11.657940025793929 15.673270189419137 21.390176501623525 28.73810566960679 36.85411167406916 42.4495154910655 41.028355718177636 32.89793822227495 21.940676033407 13.298496175303926 9.669547082014727 9.613672428892933 11.782052068195547 15.786841436521659 21.36312196244991 28.591536974165464 36.886797252575874 42.69140497304538 41.0777850614361 32.8343086760122 21.8925026075135 13.337343545644776 9.702864500700747 9.616515709699836 11.714693584806176 15.677481782238289 21.288528706494542 28.556252480391286 36.95155817078363 42.95882997885325 41.112582174217266 32.62048612883513 21.607338823680028 13.180935424505108 9.726620611374189 9.690648923900717 11.760978578112473 15.636929928507733 21.17203502980197 28.591511322534252 37.19731699881886 42.951814932759866 41.054436676690344 32.694142762729825 21.80849368405697 13.297845433922669 9.71112432595081 9.624870040959626 11.704833907820035 15.649433748637428 21.262915721490714 28.69819915691408 37.1657762931157 42.788951376112976 40.84564859965997 32.51369973818802 21.7048813452508 13.315607838450694 9.738690378902069 9.627248892233018 11.698836826459985 15.670781981191634 21.359112882508743 28.789711351260667 37.21718756240671 42.835488835473825 40.7693471475788 32.303257805987435 21.444812282214247 13.179990364407846 9.75000409835214 9.696592001826637 11.785663547852938 15.774984982558589 21.471110942070787 28.972480573727587 37.46080245410701 42.79572610692449 40.570984433507064 32.07284135358831 21.344507653748497 13.139865137806913 9.709974052803858 9.652039168670035 11.76854985957739 15.781002990249362 21.53387423949796 29.10019126997099 37.577973705137175 42.80082133093458 40.41003529860005 31.868728623867675 21.252823998498545 13.16114519102553 9.721260770536864 9.612441150594787 11.695296901352815 15.748785891533725 21.627740477290384 29.318887627078222 37.733265980319146 42.810903772086505 40.21913315895328 31.560086172003597 21.000748118756043 13.063496856476009 9.713708390273894 9.621778344355729 11.694014319792245 15.74750871031657 21.664632417033566 29.374220220729942 37.72923732413311
